[230],119
[231],115
[232],115
[233],103
[234],100
[235],94
[236],83
[237],83
[238],82
[239],75
[240],74
[241],67
[242],56
[243],52
[244],52
[245],44
[246],37
[247],32
[248],17
[249],8
[250],1
[251],3
[252],-6
[253],-9
[254],-18
[255],-25
[256],-38
[257],-49
[258],-54
[259],-60
[260],-76
[261],-78
[262],-81
[263],-90
[264],-97
[265],-93
[266],-102
[267],-106
[268],-106
[269],-107
[270],-111
[271],-111
[272],-115
[273],-122
[274],-123
[275],-122
[276],-119
[277],-121
[278],-114
[279],-117
[280],-120
[281],-123
[282],-118
[283],-118
[284],-112
[285],-107
[286],-98
[287],-87
[288],-83
[289],-77
[290],-70
[291],-63
[292],-58
[293],-44
[294],-35
[295],-27
[296],-17
[297],-14
[298],-10
[299],1
[300],12
[301],16
[302],30
[303],41
[304],48
[305],56
[306],67
[307],75
[308],76
[309],74
[310],71
[311],75
[312],75
[313],82
[314],88
[315],102
[316],104
[317],106
[318],116
[319],120
[320],117
[321],118
[322],121
[323],120
[324],125
[325],126
[326],127
[327],127
[328],126
[329],123
[330],120
[331],113
[332],117
[333],117
[334],111
[335],108
[336],104
[337],96
[338],88
[339],85
[340],74
[341],67
[342],54
[343],45
[344],36
[345],30
[346],19
[347],19
[348],7
[349],4
[350],-4
[351],-13
[352],-20
[353],-26
[354],-36
[355],-43
[356],-45
[357],-52
[358],-55
[359],-59
[360],-69
[361],-81
[362],-88
[363],-93
[364],-103
[365],-106
[366],-104
[367],-108
[368],-118
[369],-123
[370],-128
[371],-128
[372],-128
[373],-128
[374],-124
[375],-118
[376],-120
[377],-119
[378],-120
[379],-123
[380],-123
[381],-118
[382],-120
[383],-112
[384],-102
[385],-96
[386],-90
[387],-81
[388],-82
[389],-74
[390],-67
[391],-65
[392],-65
[393],-57
[394],-56
[395],-46
[396],-40
[397],-28
[398],-15
[399],-10
[400],-6
[401],7
[402],18
[403],20
[404],30
[405],34
[406],43
[407],50
[408],59
[409],71
[410],79
[411],86
[412],88
[413],94
[414],99
[415],111
[416],111
[417],117
[418],118
[419],123
[420],126
[421],123
[422],125
[423],127
[424],127
[425],127
[426],127
[427],125
[428],121
[429],118
[430],111
[431],113
[432],117
[433],112
[434],107
[435],106
[436],99
[437],90
[438],86
[439],79
[440],73
[441],66
[442],61
[443],55
[444],48
[445],36
[446],32
[447],20
[448],13
[449],12
[450],10
[451],-4
[452],-5
[453],-16
[454],-28
[455],-38
[456],-41
[457],-52
[458],-64
[459],-68
[460],-83
[461],-95
[462],-99
[463],-98
[464],-106
[465],-106
[466],-108
[467],-113
[468],-115
[469],-114
[470],-117
[471],-120
[472],-124
[473],-126
[474],-128
[475],-128
[476],-128
[477],-127
[478],-128
[479],-127
[480],-123
[481],-120
[482],-116
[483],-105
[484],-100
[485],-101
[486],-89
[487],-87
[488],-87
[489],-82
[490],-69
[491],-61
[492],-50
[493],-36
[494],-30
[495],-24
[496],-16
[497],-13
[498],-15
[499],-5
[500],6
[501],14
[502],18
[503],32
[504],37
[505],41
[506],44
[507],56
[508],65
[509],75
[510],85
[511],87
[512],88
[513],92
[514],88
[515],90
[516],101
[517],105
[518],108
[519],120
[520],124
[521],124
[522],127
[523],127
[524],127
[525],127
[526],127
[527],127
[528],127
[529],127
[530],127
[531],127
[532],125
[533],114
[534],106
[535],108
[536],98
[537],93
[538],91
[539],85
[540],71
[541],65
[542],60
[543],52
[544],41
[545],41
[546],39
[547],27
[548],22
[549],18
[550],7
[551],-2
[552],-8
[553],-22
[554],-33
[555],-37
[556],-43
[557],-56
[558],-62
[559],-65
[560],-74
[561],-84
[562],-89
[563],-94
[564],-105
[565],-106
[566],-113
[567],-116
[568],-121
[569],-119
[570],-123
[571],-125
[572],-128
[573],-127
[574],-128
[575],-128
[576],-128
[577],-128
