[608]	01000000
[609]	00111000
[610]	01010110
[611]	01001101
[612]	01001010
[613]	01011000
[614]	01101011
[615]	01101111
[616]	01100000
[617]	01101110
[618]	01110011
[619]	01101011
[620]	01111111
[621]	01111111
[622]	01111011
[623]	01110111
[624]	01111111
[625]	01111111
[626]	01110110
[627]	01111111
[628]	01111111
[629]	01110010
[630]	01111111
[631]	01110100
[632]	01101000
[633]	01110001
[634]	01100110
[635]	01100111
[636]	01011011
[637]	01101010
[638]	01011101
[639]	01010101
[640]	01001110
[641]	01010001
[642]	01001001
[643]	00111001
[644]	00100111
[645]	00101011
[646]	00011111
[647]	00011011
[648]	00000111
[649]	00001100
[650]	11111110
[651]	11110011
[652]	11111010
[653]	11110110
[654]	11101101
[655]	11011001
[656]	11001011
[657]	11011000
[658]	11001000
[659]	11000110
[660]	10101100
[661]	10110010
[662]	10110011
[663]	10100110
[664]	10010100
[665]	10011101
[666]	10100010
[667]	10011011
[668]	10010111
[669]	10000000
[670]	10000000
[671]	10001110
[672]	10000000
[673]	10001101
[674]	10000000
[675]	10000000
[676]	10000000
[677]	10001010
[678]	10001101
[679]	10000000
[680]	10000000
[681]	10010001
[682]	10000010
[683]	10011000
[684]	10001111
[685]	10001100
[686]	10011001
[687]	10010100
[688]	10011101
[689]	10100100
[690]	10110110
[691]	11000011
[692]	10110011
[693]	10111011
[694]	11001101
[695]	11011111
[696]	11100111
[697]	11100111
[698]	11100110
[699]	11110100
[700]	11111111
[701]	00000001
[702]	00001011
[703]	00010000
[704]	00100000
[705]	00101010
[706]	00111000
[707]	00111001
[708]	00101111
[709]	01000010
[710]	01001100
[711]	01001111
[712]	01010000
[713]	01010110
[714]	01101000
[715]	01011111
[716]	01110010
[717]	01100010
[718]	01110010
[719]	01110011
[720]	01111000
[721]	01110000
[722]	01110010
[723]	01111000
[724]	01111111
[725]	01111110
[726]	01110100
[727]	01111111
[728]	01110100
[729]	01111111
[730]	01110011
[731]	01101101
[732]	01111100
[733]	01110111
[734]	01110000
[735]	01110000
[736]	01110001
[737]	01011000
[738]	01011111
[739]	01001110
[740]	01010011
[741]	01000001
[742]	01000111
[743]	00111110
[744]	00111101
[745]	00110100
[746]	00101101
[747]	00010011
[748]	00001101
[749]	00000000
[750]	11111110
[751]	00000000
[752]	11101111
[753]	11101111
[754]	11011001
[755]	11010110
[756]	11001110
[757]	11001100
[758]	11000000
[759]	10111100
[760]	10110100
[761]	10111010
[762]	10100010
[763]	10011011
[764]	10101011
[765]	10011100
[766]	10010111
[767]	10011001
[768]	10001100
[769]	10000111
[770]	10010010
[771]	10001111
[772]	10000000
[773]	10000000
[774]	10000010
[775]	10000110
[776]	10000000
[777]	10000000
[778]	10000100
[779]	10000000
[780]	10000000
[781]	10010000
[782]	10000110
[783]	10011010
[784]	10000101
[785]	10010110
[786]	10011010
[787]	10101011
[788]	10011100
[789]	10100111
[790]	10111001
[791]	10110111
[792]	10110111
[793]	11000110
[794]	11000111
[795]	11011001
[796]	11011101
