[449],10
[450],2
[451],-6
[452],-15
[453],-22
[454],-30
[455],-38
[456],-46
[457],-53
[458],-60
[459],-67
[460],-74
[461],-81
[462],-87
[463],-92
[464],-98
[465],-103
[466],-107
[467],-112
[468],-115
[469],-119
[470],-122
[471],-124
[472],-126
[473],-127
[474],-128
[475],-128
[476],-128
[477],-128
[478],-127
[479],-125
[480],-123
[481],-120
[482],-117
[483],-114
[484],-110
[485],-105
[486],-100
[487],-95
[488],-89
[489],-84
[490],-77
[491],-71
[492],-64
[493],-57
[494],-49
[495],-42
[496],-34
[497],-26
[498],-18
[499],-10
[500],-2
[501],6
[502],14
[503],22
[504],30
[505],37
[506],45
[507],52
[508],60
[509],67
[510],73
[511],80
[512],86
[513],92
[514],97
[515],102
[516],107
[517],111
[518],115
[519],118
[520],121
[521],123
[522],125
[523],127
[524],127
[525],127
[526],127
[527],127
[528],126
[529],124
[530],122
[531],120
[532],117
[533],113
[534],109
[535],105
[536],100
[537],95
[538],89
[539],83
[540],77
[541],70
[542],63
[543],56
[544],49
[545],41
[546],34
[547],26
[548],18
[549],10
[550],2
[551],-6
[552],-14
[553],-22
[554],-30
[555],-38
[556],-45
[557],-53
[558],-60
[559],-67
[560],-74
[561],-80
[562],-86
[563],-92
[564],-98
[565],-103
[566],-107
[567],-111
[568],-115
[569],-119
[570],-121
[571],-124
[572],-126
[573],-127
[574],-128
[575],-128
[576],-128
[577],-128
[578],-127
[579],-125
[580],-123
[581],-120
[582],-117
[583],-114
[584],-110
[585],-105
[586],-101
[587],-95
[588],-90
[589],-84
[590],-78
[591],-71
[592],-64
[593],-57
[594],-50
[595],-42
[596],-35
[597],-27
[598],-19
[599],-11
[600],-3
[601],5
[602],13
[603],21
[604],29
[605],37
[606],45
[607],52
[608],59
[609],66
[610],73
[611],80
[612],86
[613],91
[614],97
[615],102
[616],107
[617],111
[618],115
[619],118
[620],121
[621],123
[622],125
[623],127
[624],127
[625],127
[626],127
[627],127
[628],126
[629],125
[630],122
[631],120
[632],117
[633],113
[634],109
[635],105
[636],100
[637],95
[638],89
[639],83
[640],77
[641],71
[642],64
[643],57
[644],49
[645],42
[646],34
[647],26
[648],18
[649],10
[650],2
[651],-6
[652],-14
[653],-22
[654],-30
[655],-37
[656],-45
[657],-52
[658],-60
[659],-67
[660],-73
[661],-80
[662],-86
[663],-92
[664],-97
[665],-102
[666],-107
[667],-111
[668],-115
[669],-118
[670],-121
[671],-124
[672],-126
[673],-127
[674],-128
[675],-128
[676],-128
[677],-128
[678],-127
[679],-125
[680],-123
[681],-120
[682],-117
[683],-114
[684],-110
[685],-106
[686],-101
[687],-96
[688],-90
[689],-84
[690],-78
[691],-71
[692],-65
[693],-57
[694],-50
[695],-43
[696],-35
[697],-27
[698],-19
[699],-11
[700],-3
[701],5
[702],13
[703],21
[704],29
[705],37
[706],44
[707],52
[708],59
[709],66
[710],73
[711],79
[712],85
[713],91
[714],97
[715],102
[716],106
[717],111
[718],114
[719],118
[720],121
[721],123
[722],125
[723],127
[724],127
[725],127
[726],127
[727],127
[728],126
[729],125
[730],123
[731],120
[732],117
[733],113
[734],110
[735],105
[736],100
[737],95
[738],90
[739],84
[740],77
[741],71
[742],64
[743],57
[744],50
[745],42
[746],35
[747],27
[748],19
[749],11
[750],3
[751],-5
[752],-13
[753],-21
[754],-29
[755],-37
[756],-45
[757],-52
[758],-59
[759],-66
[760],-73
[761],-80
[762],-86
[763],-92
[764],-97
[765],-102
[766],-107
[767],-111
[768],-115
[769],-118
[770],-121
[771],-124
[772],-126
[773],-127
[774],-128
[775],-128
[776],-128
[777],-128
[778],-127
[779],-125
[780],-123
[781],-121
[782],-118
[783],-114
[784],-110
[785],-106
[786],-101
[787],-96
[788],-90
[789],-84
[790],-78
[791],-72
[792],-65
[793],-58
[794],-50
[795],-43
[796],-35
[797],-27
[798],-20
[799],-12
[800],-4
[801],5
[802],13
[803],21
[804],28
[805],36
[806],44
[807],51
[808],59
[809],66
[810],72
[811],79
[812],85
[813],91
[814],96
[815],101
[816],106
[817],110
[818],114
[819],118
[820],121
[821],123
[822],125
[823],126
[824],127
[825],127
[826],127
[827],127
[828],126
[829],125
[830],123
[831],120
[832],117
[833],114
[834],110
[835],105
[836],101
[837],95
[838],90
[839],84
[840],78
[841],71
[842],64
[843],57
[844],50
[845],43
[846],35
[847],27
[848],19
[849],11
[850],3
[851],-5
[852],-13
[853],-21
[854],-29
[855],-37
[856],-44
[857],-52
[858],-59
[859],-66
[860],-73
[861],-79
[862],-85
[863],-91
[864],-97
[865],-102
[866],-107
[867],-111
[868],-115
[869],-118
[870],-121
[871],-124
[872],-126
[873],-127
[874],-128
[875],-128
[876],-128
[877],-128
[878],-127
[879],-125
[880],-123
[881],-121
[882],-118
[883],-114
[884],-110
[885],-106
[886],-101
[887],-96
[888],-91
[889],-85
[890],-79
[891],-72
[892],-65
[893],-58
[894],-51
[895],-43
[896],-36
[897],-28
[898],-20
[899],-12
[900],-4
[901],4
[902],12
[903],20
[904],28
[905],36
[906],43
[907],51
[908],58
[909],65
[910],72
[911],79
[912],85
[913],91
[914],96
[915],101
[916],106
[917],110
[918],114
[919],117
[920],120
[921],123
[922],125
[923],126
[924],127
[925],127
[926],127
[927],127
[928],126
[929],125
[930],123
[931],120
[932],117
[933],114
[934],110
[935],106
[936],101
[937],96
[938],90
[939],84
[940],78
[941],72
[942],65
[943],58
[944],50
[945],43
[946],35
[947],28
[948],20
[949],12
[950],4
[951],-4
[952],-12
[953],-20
[954],-28
[955],-36
[956],-44
[957],-51
[958],-59
[959],-66
[960],-72
[961],-79
[962],-85
[963],-91
[964],-97
[965],-102
[966],-106
[967],-111
[968],-115
[969],-118
[970],-121
[971],-123
[972],-125
[973],-127
[974],-128
[975],-128
[976],-128
[977],-128
[978],-127
[979],-125
[980],-123
[981],-121
[982],-118
[983],-115
[984],-111
[985],-106
[986],-102
[987],-96
[988],-91
[989],-85
[990],-79
[991],-72
[992],-66
[993],-59
[994],-51
[995],-44
[996],-36
[997],-28
[998],-20
[999],-12
