time,sampling,quantize,encode
0.273,-4.961,-127,10000001
0.274,-4.99,-128,10000000
0.275,-5.0,-128,10000000
0.276,-4.99,-128,10000000
0.277,-4.961,-127,10000001
0.278,-4.911,-126,10000010
0.279,-4.843,-124,10000100
0.28,-4.755,-122,10000110
0.281,-4.649,-120,10001000
0.28200000000000003,-4.524,-116,10001100
0.28300000000000003,-4.382,-113,10001111
0.28400000000000003,-4.222,-109,10010011
0.28500000000000003,-4.045,-104,10011000
0.28600000000000003,-3.853,-99,10011101
0.28700000000000003,-3.645,-94,10100010
0.28800000000000003,-3.423,-88,10101000
0.289,-3.187,-82,10101110
0.29,-2.939,-76,10110100
0.291,-2.679,-69,10111011
0.292,-2.409,-62,11000010
0.293,-2.129,-55,11001001
0.294,-1.841,-48,11010000
0.295,-1.545,-40,11011000
0.296,-1.243,-32,11100000
0.297,-0.937,-24,11101000
0.298,-0.627,-17,11101111
0.299,-0.314,-9,11110111
0.3,0.0,0,00000000
0.301,0.314,8,00001000
0.302,0.627,16,00010000
0.303,0.937,23,00010111
0.304,1.243,31,00011111
0.305,1.545,39,00100111
0.306,1.841,47,00101111
0.307,2.129,54,00110110
0.308,2.409,61,00111101
0.309,2.679,68,01000100
0.31,2.939,75,01001011
0.311,3.187,81,01010001
0.312,3.423,87,01010111
0.313,3.645,93,01011101
0.314,3.853,98,01100010
0.315,4.045,103,01100111
0.316,4.222,108,01101100
0.317,4.382,112,01110000
0.318,4.524,115,01110011
0.319,4.649,119,01110111
0.32,4.755,121,01111001
0.321,4.843,123,01111011
0.322,4.911,125,01111101
0.323,4.961,127,01111111
0.324,4.99,127,01111111
0.325,5.0,127,01111111
0.326,4.99,127,01111111
0.327,4.961,127,01111111
0.328,4.911,125,01111101
0.329,4.843,123,01111011
0.33,4.755,121,01111001
0.331,4.649,119,01110111
0.332,4.524,115,01110011
0.333,4.382,112,01110000
0.334,4.222,108,01101100
0.335,4.045,103,01100111
0.336,3.853,98,01100010
0.337,3.645,93,01011101
0.338,3.423,87,01010111
0.339,3.187,81,01010001
0.34,2.939,75,01001011
0.341,2.679,68,01000100
0.342,2.409,61,00111101
0.343,2.129,54,00110110
0.34400000000000003,1.841,47,00101111
0.34500000000000003,1.545,39,00100111
0.34600000000000003,1.243,31,00011111
0.34700000000000003,0.937,23,00010111
0.34800000000000003,0.627,16,00010000
0.34900000000000003,0.314,8,00001000
0.35000000000000003,0.0,0,00000000
0.35100000000000003,-0.314,-9,11110111
0.352,-0.627,-17,11101111
0.353,-0.937,-24,11101000
0.354,-1.243,-32,11100000
0.355,-1.545,-40,11011000
0.356,-1.841,-48,11010000
0.357,-2.129,-55,11001001
0.358,-2.409,-62,11000010
0.359,-2.679,-69,10111011
0.36,-2.939,-76,10110100
0.361,-3.187,-82,10101110
0.362,-3.423,-88,10101000
0.363,-3.645,-94,10100010
0.364,-3.853,-99,10011101
0.365,-4.045,-104,10011000
0.366,-4.222,-109,10010011
0.367,-4.382,-113,10001111
0.368,-4.524,-116,10001100
0.369,-4.649,-120,10001000
0.37,-4.755,-122,10000110
0.371,-4.843,-124,10000100
0.372,-4.911,-126,10000010
0.373,-4.961,-127,10000001
0.374,-4.99,-128,10000000
0.375,-5.0,-128,10000000
0.376,-4.99,-128,10000000
0.377,-4.961,-127,10000001
0.378,-4.911,-126,10000010
0.379,-4.843,-124,10000100
0.38,-4.755,-122,10000110
0.381,-4.649,-120,10001000
0.382,-4.524,-116,10001100
0.383,-4.382,-113,10001111
0.384,-4.222,-109,10010011
0.385,-4.045,-104,10011000
0.386,-3.853,-99,10011101
0.387,-3.645,-94,10100010
0.388,-3.423,-88,10101000
0.389,-3.187,-82,10101110
0.39,-2.939,-76,10110100
0.391,-2.679,-69,10111011
0.392,-2.409,-62,11000010
0.393,-2.129,-55,11001001
0.394,-1.841,-48,11010000
0.395,-1.545,-40,11011000
0.396,-1.243,-32,11100000
0.397,-0.937,-24,11101000
0.398,-0.627,-17,11101111
0.399,-0.314,-9,11110111
0.4,0.0,0,00000000
0.401,0.314,8,00001000
0.402,0.627,16,00010000
0.403,0.937,23,00010111
0.404,1.243,31,00011111
0.405,1.545,39,00100111
0.406,1.841,47,00101111
0.40700000000000003,2.129,54,00110110
0.40800000000000003,2.409,61,00111101
0.40900000000000003,2.679,68,01000100
0.41000000000000003,2.939,75,01001011
0.41100000000000003,3.187,81,01010001
0.41200000000000003,3.423,87,01010111
0.41300000000000003,3.645,93,01011101
0.41400000000000003,3.853,98,01100010
0.41500000000000004,4.045,103,01100111
0.41600000000000004,4.222,108,01101100
0.417,4.382,112,01110000
0.418,4.524,115,01110011
0.419,4.649,119,01110111
0.42,4.755,121,01111001
0.421,4.843,123,01111011
0.422,4.911,125,01111101
0.423,4.961,127,01111111
0.424,4.99,127,01111111
0.425,5.0,127,01111111
0.426,4.99,127,01111111
0.427,4.961,127,01111111
0.428,4.911,125,01111101
0.429,4.843,123,01111011
0.43,4.755,121,01111001
0.431,4.649,119,01110111
0.432,4.524,115,01110011
0.433,4.382,112,01110000
0.434,4.222,108,01101100
0.435,4.045,103,01100111
0.436,3.853,98,01100010
0.437,3.645,93,01011101
0.438,3.423,87,01010111
0.439,3.187,81,01010001
0.44,2.939,75,01001011
0.441,2.679,68,01000100
0.442,2.409,61,00111101
0.443,2.129,54,00110110
0.444,1.841,47,00101111
0.445,1.545,39,00100111
0.446,1.243,31,00011111
0.447,0.937,23,00010111
0.448,0.627,16,00010000
0.449,0.314,8,00001000
0.45,0.0,0,00000000
0.451,-0.314,-9,11110111
0.452,-0.627,-17,11101111
0.453,-0.937,-24,11101000
0.454,-1.243,-32,11100000
0.455,-1.545,-40,11011000
0.456,-1.841,-48,11010000
0.457,-2.129,-55,11001001
0.458,-2.409,-62,11000010
0.459,-2.679,-69,10111011
0.46,-2.939,-76,10110100
0.461,-3.187,-82,10101110
0.462,-3.423,-88,10101000
0.463,-3.645,-94,10100010
0.464,-3.853,-99,10011101
0.465,-4.045,-104,10011000
0.466,-4.222,-109,10010011
0.467,-4.382,-113,10001111
0.468,-4.524,-116,10001100
0.46900000000000003,-4.649,-120,10001000
0.47000000000000003,-4.755,-122,10000110
0.47100000000000003,-4.843,-124,10000100
0.47200000000000003,-4.911,-126,10000010
0.47300000000000003,-4.961,-127,10000001
0.47400000000000003,-4.99,-128,10000000
0.47500000000000003,-5.0,-128,10000000
0.47600000000000003,-4.99,-128,10000000
0.47700000000000004,-4.961,-127,10000001
0.47800000000000004,-4.911,-126,10000010
0.47900000000000004,-4.843,-124,10000100
0.48,-4.755,-122,10000110
0.481,-4.649,-120,10001000
0.482,-4.524,-116,10001100
0.483,-4.382,-113,10001111
0.484,-4.222,-109,10010011
0.485,-4.045,-104,10011000
0.486,-3.853,-99,10011101
0.487,-3.645,-94,10100010
0.488,-3.423,-88,10101000
0.489,-3.187,-82,10101110
0.49,-2.939,-76,10110100
0.491,-2.679,-69,10111011
0.492,-2.409,-62,11000010
0.493,-2.129,-55,11001001
0.494,-1.841,-48,11010000
0.495,-1.545,-40,11011000
0.496,-1.243,-32,11100000
0.497,-0.937,-24,11101000
0.498,-0.627,-17,11101111
0.499,-0.314,-9,11110111
0.5,0.0,0,00000000
0.501,0.314,8,00001000
0.502,0.627,16,00010000
0.503,0.937,23,00010111
0.504,1.243,31,00011111
0.505,1.545,39,00100111
0.506,1.841,47,00101111
0.507,2.129,54,00110110
0.508,2.409,61,00111101
0.509,2.679,68,01000100
0.51,2.939,75,01001011
0.511,3.187,81,01010001
0.512,3.423,87,01010111
0.513,3.645,93,01011101
0.514,3.853,98,01100010
0.515,4.045,103,01100111
0.516,4.222,108,01101100
0.517,4.382,112,01110000
0.518,4.524,115,01110011
0.519,4.649,119,01110111
0.52,4.755,121,01111001
0.521,4.843,123,01111011
0.522,4.911,125,01111101
0.523,4.961,127,01111111
0.524,4.99,127,01111111
0.525,5.0,127,01111111
0.526,4.99,127,01111111
0.527,4.961,127,01111111
0.528,4.911,125,01111101
0.529,4.843,123,01111011
0.53,4.755,121,01111001
0.531,4.649,119,01110111
0.532,4.524,115,01110011
0.533,4.382,112,01110000
0.534,4.222,108,01101100
0.535,4.045,103,01100111
0.536,3.853,98,01100010
0.537,3.645,93,01011101
0.538,3.423,87,01010111
0.539,3.187,81,01010001
0.54,2.939,75,01001011
0.541,2.679,68,01000100
0.542,2.409,61,00111101
0.543,2.129,54,00110110
0.544,1.841,47,00101111
0.545,1.545,39,00100111
0.546,1.243,31,00011111
0.547,0.937,23,00010111
0.548,0.627,16,00010000
0.549,0.314,8,00001000
0.55,0.0,0,00000000
0.551,-0.314,-9,11110111
0.552,-0.627,-17,11101111
0.553,-0.937,-24,11101000
0.554,-1.243,-32,11100000
0.555,-1.545,-40,11011000
0.556,-1.841,-48,11010000
0.557,-2.129,-55,11001001
0.558,-2.409,-62,11000010
0.559,-2.679,-69,10111011
0.56,-2.939,-76,10110100
0.561,-3.187,-82,10101110
0.562,-3.423,-88,10101000
0.5630000000000001,-3.645,-94,10100010
0.5640000000000001,-3.853,-99,10011101
0.5650000000000001,-4.045,-104,10011000
0.5660000000000001,-4.222,-109,10010011
0.5670000000000001,-4.382,-113,10001111
0.5680000000000001,-4.524,-116,10001100
0.5690000000000001,-4.649,-120,10001000
0.5700000000000001,-4.755,-122,10000110
0.5710000000000001,-4.843,-124,10000100
0.5720000000000001,-4.911,-126,10000010
0.5730000000000001,-4.961,-127,10000001
0.5740000000000001,-4.99,-128,10000000
0.5750000000000001,-5.0,-128,10000000
0.5760000000000001,-4.99,-128,10000000
0.577,-4.961,-127,10000001
0.578,-4.911,-126,10000010
0.579,-4.843,-124,10000100
0.58,-4.755,-122,10000110
0.581,-4.649,-120,10001000
0.582,-4.524,-116,10001100
0.583,-4.382,-113,10001111
0.584,-4.222,-109,10010011
0.585,-4.045,-104,10011000
0.586,-3.853,-99,10011101
0.587,-3.645,-94,10100010
0.588,-3.423,-88,10101000
0.589,-3.187,-82,10101110
0.59,-2.939,-76,10110100
0.591,-2.679,-69,10111011
0.592,-2.409,-62,11000010
0.593,-2.129,-55,11001001
0.594,-1.841,-48,11010000
0.595,-1.545,-40,11011000
0.596,-1.243,-32,11100000
0.597,-0.937,-24,11101000
0.598,-0.627,-17,11101111
0.599,-0.314,-9,11110111
0.6,0.0,0,00000000
0.601,0.314,8,00001000
0.602,0.627,16,00010000
0.603,0.937,23,00010111
0.604,1.243,31,00011111
0.605,1.545,39,00100111
0.606,1.841,47,00101111
0.607,2.129,54,00110110
0.608,2.409,61,00111101
0.609,2.679,68,01000100
0.61,2.939,75,01001011
0.611,3.187,81,01010001
0.612,3.423,87,01010111
0.613,3.645,93,01011101
0.614,3.853,98,01100010
0.615,4.045,103,01100111
0.616,4.222,108,01101100
0.617,4.382,112,01110000
0.618,4.524,115,01110011
0.619,4.649,119,01110111
0.62,4.755,121,01111001
0.621,4.843,123,01111011
0.622,4.911,125,01111101
0.623,4.961,127,01111111
0.624,4.99,127,01111111
0.625,5.0,127,01111111
0.626,4.99,127,01111111
0.627,4.961,127,01111111
0.628,4.911,125,01111101
0.629,4.843,123,01111011
0.63,4.755,121,01111001
0.631,4.649,119,01110111
